organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Fusarium oxysporum f. sp. niveum	120297	PRJNA306247	306247	Fungi	Ascomycetes	54.216	47.4	GCA_001702775.1	NA	MALC01	3008	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348779
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.80524	44.5	GCA_900011575.2	NA	CZVF02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660317
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2884	51.6	GCA_000734495.1	NA	JMQU01	7725	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742165
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	10.5367	38.0403	GCA_009663245.1	chromosome I:CM018972.1; chromosome II:CM018973.1; chromosome III:CM018974.1; chromosome IV:CM018975.1; chromosome V:CM018976.1; chromosome VI:CM018977.1; chromosome VII:CM018978.1; chromosome VIII:CM018979.1; chromosome IX:CM018980.1; chromosome XI:CM018981.1; chromosome XIII:CM018982.1; chromosome XIV:CM018983.1; chromosome XVI:CM018984.1; chromosome IV_VII:CM018985.1; chromosome XIII_XII:CM018986.1; chromosome XII_IV:CM018987.1; chromosome XIV_VI:CM018988.1; chromosome XV_II:CM018989.1; chromosome XV_XII:CM018990.1; chromosome X_XIII:CM018991.1	WJAY01	30	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN12333868
Saccharomyces cerevisiae AWRI796	764097	PRJNA48559	48559	Fungi	Ascomycetes	11.7417	38.2354	GCA_000190195.1	chromosome I:CM001078.1; chromosome II:CM001079.1; chromosome III:CM001080.1; chromosome IV:CM001081.1; chromosome V:CM001082.1; chromosome VI:CM001083.1; chromosome VII:CM001084.1; chromosome VIII:CM001085.1; chromosome IX:CM001086.1; chromosome X:CM001087.1; chromosome XI:CM001088.1; chromosome XII:CM001089.1; chromosome XIII:CM001090.1; chromosome XIV:CM001091.1; chromosome XV:CM001092.1; chromosome XVI:CM001093.1	ADVS01	89	5267	3786	2011-02-11	2014-08-11	Chromosome	The Australian Wine Research Institute	SAMN02981265
Pyricularia oryzae Mo-nwi-55	1440153	PRJNA232298	232298	Fungi	Ascomycetes	37.7645	51.6	GCA_002021675.1	NA	AZSW01	7002	NA	NA	2017-03-06	2017-03-06	Contig	National Research Centre on Plant Biotechnology	SAMN02688647
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.85813	44.5	GCA_900008965.2	NA	CZTT02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660283
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	49.8925	48.2	GCA_009299295.1	NA	WGRZ01	2843	NA	NA	2019-10-25	2019-10-25	Scaffold	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869198
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.7287	47.8	GCA_001703355.1	NA	MAMG01	3451	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348785
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	2.0969	45.8	GCA_900019275.2	NA	CZUR02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660305
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3842	51.5	GCA_000734595.1	NA	JMQV01	7786	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742166
Saccharomyces cerevisiae Sigma1278b	658763	PRJNA39317	39317	Fungi	Ascomycetes	11.9459	38.3049	GCA_000151485.1	chromosome 1:CM000921.1; chromosome 2:CM000922.1; chromosome 3:CM000923.1; chromosome 4:CM000924.1; chromosome 5:CM000925.1; chromosome 6:CM000926.1; chromosome 7:CM000927.1; chromosome 8:CM000928.1; chromosome 9:CM000929.1; chromosome 10:CM000930.1; chromosome 11:CM000931.1; chromosome 12:CM000932.1; chromosome 13:CM000933.1; chromosome 14:CM000934.1; chromosome 15:CM000935.1; chromosome 16:CM000936.1	ACVY01	16	NA	NA	2010-04-29	2014-08-04	Chromosome	Broad Institute	SAMN00002885
Saccharomyces cerevisiae Vin13	764099	PRJNA48563	48563	Fungi	Ascomycetes	11.6675	38.2583	GCA_000190215.1	chromosome I:CM001094.1; chromosome II:CM001095.1; chromosome III:CM001096.1; chromosome IV:CM001097.1; chromosome V:CM001098.1; chromosome VI:CM001099.1; chromosome VII:CM001100.1; chromosome VIII:CM001101.1; chromosome IX:CM001102.1; chromosome X:CM001103.1; chromosome XI:CM001104.1; chromosome XII:CM001105.1; chromosome XIII:CM001106.1; chromosome XIV:CM001107.1; chromosome XV:CM001108.1; chromosome XVI:CM001109.1	ADXC01	107	5250	3930	2011-02-11	2014-08-11	Chromosome	The Australian Wine Research Institute	SAMN02981268
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.0979	51.1	GCA_000734655.1	NA	JMRC01	8594	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742173
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	2.03277	45.5	GCA_900011495.2	NA	CZST02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660231
Fusarium oxysporum f. sp. melonis	61369	PRJNA306247	306247	Fungi	Ascomycetes	57.7269	45.4	GCA_001703215.1	NA	MALX01	1300	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348767
Fusarium oxysporum f. sp. niveum	120297	PRJNA306247	306247	Fungi	Ascomycetes	54.7182	47.4	GCA_001702505.1	NA	MAKY01	3511	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348777
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.72133	44.5	GCA_900008145.2	NA	CZSR02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660267
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.1134	51.5	GCA_000734405.1	NA	JMJR01	7798	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740631
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.829	38.1361	GCA_003273145.1	chromosome I:CM015800.1; chromosome II:CM015801.1; chromosome III:CM015802.1; chromosome IV:CM015803.1; chromosome V:CM015804.1; chromosome VI:CM015805.1; chromosome VII:CM015806.1; chromosome VIII:CM015807.1; chromosome IX:CM015808.1; chromosome X:CM015809.1; chromosome XI:CM015810.1; chromosome XII:CM015811.1; chromosome XIII:CM015812.1; chromosome XIV:CM015813.1; chromosome XV:CM015814.1; chromosome XVI:CM015815.1	NPQE01	87	NA	NA	2018-06-28	2019-04-15	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07437037
Saccharomyces cerevisiae VL3	764100	PRJNA48565	48565	Fungi	Ascomycetes	11.6622	38.2576	GCA_000190235.1	chromosome I:CM001126.1; chromosome II:CM001127.1; chromosome III:CM001128.1; chromosome IV:CM001129.1; chromosome V:CM001130.1; chromosome VI:CM001131.1; chromosome VII:CM001132.1; chromosome VIII:CM001133.1; chromosome IX:CM001134.1; chromosome X:CM001135.1; chromosome XI:CM001136.1; chromosome XII:CM001137.1; chromosome XIII:CM001138.1; chromosome XIV:CM001139.1; chromosome XV:CM001140.1; chromosome XVI:CM001141.1	AEJS01	84	5295	4025	2011-02-11	2014-08-11	Chromosome	The Australian Wine Research Institute	SAMN02981289
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.7888	51.5	GCA_000734395.1	NA	JMJT01	8371	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740629
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.89779	44.5	GCA_900009945.2	NA	CZUO02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660298
Fusarium oxysporum f. sp. melonis	61369	PRJNA306247	306247	Fungi	Ascomycetes	52.9289	47.8	GCA_001703295.1	NA	MAMC01	2590	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348772
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	53.6293	47.3	GCA_011036045.1	NA	WEXT01	2498	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07710921
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.36067	44.2	GCA_900008165.2	NA	CZSP02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660266
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.5714	51.7	GCA_000734575.1	NA	JMQT01	7624	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742164
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.9472	38.5128	GCA_001738345.1	chromosome I:CM005327.1; chromosome II:CM005328.1; chromosome III:CM005329.1; chromosome IV:CM005330.1; chromosome V:CM005331.1; chromosome VI:CM005332.1; chromosome VII:CM005333.1; chromosome VIII:CM005334.1; chromosome IX:CM005335.1; chromosome X:CM005336.1; chromosome XI:CM005337.1; chromosome XII:CM005338.1; chromosome XIII:CM005339.1; chromosome XIV:CM005340.1; chromosome XV:CM005341.1; chromosome XVI:CM005342.1	MBVQ01	85	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190477
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8691	38.3627	GCA_001738615.1	chromosome I:CM005471.1; chromosome II:CM005472.1; chromosome III:CM005473.1; chromosome IV:CM005474.1; chromosome V:CM005475.1; chromosome VI:CM005476.1; chromosome VII:CM005477.1; chromosome VIII:CM005478.1; chromosome IX:CM005479.1; chromosome X:CM005480.1; chromosome XI:CM005481.1; chromosome XII:CM005482.1; chromosome XIII:CM005483.1; chromosome XIV:CM005484.1; chromosome XV:CM005485.1; chromosome XVI:CM005486.1	MBWB01	93	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190466
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.6799	51.5	GCA_000734275.1	NA	JMJN01	8190	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740636
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	836.511	43.5	GCA_003709615.1	NA	QPKM01	14398	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN03255769
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.8046	47.8	GCA_001702935.1	NA	MALK01	3302	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348791
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	52.1957	47.3	GCA_011036115.1	NA	WEXS01	1853	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07710920
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	957.673	43.6	GCA_003709625.1	NA	QVRB01	17169	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN04229552
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	42.4782	48.7	GCA_002924665.1	NA	PJXP01	3811	NA	NA	2018-02-08	2018-02-08	Scaffold	International Wheat Blast Consortium	SAMN08009580
Saccharomyces cerevisiae W303	580240	PRJNA83445	83445	Fungi	Ascomycetes	12.1532	38.3352	GCA_000292815.1	chromosome I:CM001806.1; chromosome II:CM001807.1; chromosome III:CM001808.1; chromosome IV:CM001809.1; chromosome V:CM001810.1; chromosome VI:CM001811.1; chromosome VII:CM001812.1; chromosome VIII:CM001813.1; chromosome IX:CM001814.1; chromosome X:CM001815.1; chromosome XI:CM001816.1; chromosome XII:CM001817.1; chromosome XIII:CM001818.1; chromosome XIV:CM001819.1; chromosome XV:CM001820.1; chromosome XVI:CM001821.1; plasmid 2-micron:CM001822.1; mitochondrion MT:CM001823.1	ALAV01	18	NA	NA	2012-08-24	2014-08-11	Chromosome	Max Planck Institute Molecular Genetics	SAMN02981436
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8436	38.2707	GCA_001737635.2	chromosome I:CM004959.2; chromosome II:CM004960.2; chromosome III:CM004961.2; chromosome IV:CM004962.2; chromosome V:CM004963.2; chromosome VI:CM004964.2; chromosome VII:CM004965.2; chromosome VIII:CM004966.2; chromosome IX:CM004967.2; chromosome X:CM004968.2; chromosome XI:CM004969.2; chromosome XII:CM004970.2; chromosome XIII:CM004971.2; chromosome XIV:CM004972.2; chromosome XV:CM004973.2; chromosome XVI:CM004974.2	MBUT02	200	NA	NA	2016-09-12	2016-11-09	Chromosome	VIB/KULeuven	SAMN05190500
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	42.0845	49.9	GCA_001675615.1	NA	LXON01	10105	NA	NA	2016-06-23	2016-06-23	Scaffold	International Wheat Blast Consortium	SAMN04940126
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.89807	44.6	GCA_900016275.2	NA	CZUW02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660309
Fusarium oxysporum f. sp. cepae	396571	PRJNA338256	338256	Fungi	Ascomycetes	51.0097	47.6	GCA_003615075.1	NA	MRCW01	1997	18323	18530	2018-10-05	2018-10-05	Scaffold	NIAB-EMR	SAMN05529099
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.7856	47.8	GCA_001703085.1	NA	MALR01	3317	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348796
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	5.20542	44.4	GCA_900010205.2	NA	CZTA02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660247
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3912	51.5	GCA_000734455.1	NA	JMQS01	8119	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742163
Saccharomyces cerevisiae FostersB	764102	PRJNA48569	48569	Fungi	Ascomycetes	11.5146	38.2354	GCA_000190255.1	chromosome I:CM001110.1; chromosome II:CM001111.1; chromosome III:CM001112.1; chromosome IV:CM001113.1; chromosome V:CM001114.1; chromosome VI:CM001115.1; chromosome VII:CM001116.1; chromosome VIII:CM001117.1; chromosome IX:CM001118.1; chromosome X:CM001119.1; chromosome XI:CM001120.1; chromosome XII:CM001121.1; chromosome XIII:CM001122.1; chromosome XIV:CM001123.1; chromosome XV:CM001124.1; chromosome XVI:CM001125.1	AEHH01	90	5187	3689	2011-02-11	2014-08-11	Chromosome	The Australian Wine Research Institute	SAMN02981281
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8841	38.2341	GCA_001737165.1	chromosome I:CM004735.1; chromosome II:CM004736.1; chromosome III:CM004737.1; chromosome IV:CM004738.1; chromosome V:CM004739.1; chromosome VI:CM004740.1; chromosome VII:CM004741.1; chromosome VIII:CM004742.1; chromosome IX:CM004743.1; chromosome X:CM004744.1; chromosome XI:CM004745.1; chromosome XII:CM004746.1; chromosome XIII:CM004747.1; chromosome XIV:CM004748.1; chromosome XV:CM004749.1; chromosome XVI:CM004750.1	MBUE01	64	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190515
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.8181	51.5	GCA_000734105.1	NA	JMKC01	7899	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739929
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	3.50018	45.4	GCA_900007495.2	NA	CZRW02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660229
Fusarium oxysporum f. sp. cubense race 1	1229664	PRJNA174274	174274	Fungi	Ascomycetes	47.6574	48	GCA_000350345.1	NA	AMGP01	1341	NA	NA	2013-04-02	2014-08-11	Scaffold	BGI	SAMN02981460
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	50.5244	47.8	GCA_009297445.1	NA	WGOF01	4075	NA	NA	2019-10-25	2019-12-17	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869101
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.01651	44.5	GCA_900008925.2	NA	CZTX02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660285
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2113	51.4	GCA_000734185.1	NA	JMJX01	8248	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739936
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.8495	38.0064	GCA_003275955.1	chromosome I:CM012226.1; chromosome II:CM012227.1; chromosome III:CM012228.1; chromosome IV:CM012229.1; chromosome V:CM012230.1; chromosome VI:CM012231.1; chromosome VII:CM012232.1; chromosome VIII:CM012233.1; chromosome IX:CM012234.1; chromosome X:CM012235.1; chromosome XI:CM012236.1; chromosome XII:CM012237.1; chromosome XIII:CM012238.1; chromosome XIV:CM012239.1; chromosome XV:CM012240.1; chromosome XVI:CM012241.1	NPXE01	64	NA	NA	2018-06-28	2019-01-08	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07436854
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0617	38.3737	GCA_001737785.2	chromosome I:CM005055.2; chromosome II:CM005056.2; chromosome III:CM005057.2; chromosome IV:CM005058.2; chromosome V:CM005059.2; chromosome VI:CM005060.2; chromosome VII:CM005061.2; chromosome VIII:CM005062.2; chromosome IX:CM005063.2; chromosome X:CM005064.2; chromosome XI:CM005065.2; chromosome XII:CM005066.2; chromosome XIII:CM005067.2; chromosome XIV:CM005068.2; chromosome XV:CM005069.2; chromosome XVI:CM005070.2	MBUZ02	58	NA	NA	2016-09-12	2016-11-09	Chromosome	VIB/KULeuven	SAMN05190494
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2603	51.3	GCA_000734155.1	NA	JMKA01	8416	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739933
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.85398	44.4	GCA_900008155.2	NA	CZSX02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660238
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	56.6984	48.8	GCA_009298925.1	NA	WGRR01	3249	NA	NA	2019-10-25	2019-10-25	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869191
Fusarium oxysporum f. sp. cucumerinum	5508	PRJNA306247	306247	Fungi	Ascomycetes	51.6098	47.4	GCA_001702655.1	NA	MABO01	1501	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348762
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.31609	44.2	GCA_900009095.2	NA	CZSF02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660263
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.3159	51.3	GCA_000734425.1	NA	JMJQ01	8649	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740632
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0634	38.4368	GCA_001737875.1	chromosome I:CM005087.1; chromosome II:CM005088.1; chromosome III:CM005089.1; chromosome IV:CM005090.1; chromosome V:CM005091.1; chromosome VI:CM005092.1; chromosome VII:CM005093.1; chromosome VIII:CM005094.1; chromosome IX:CM005095.1; chromosome X:CM005096.1; chromosome XI:CM005097.1; chromosome XII:CM005098.1; chromosome XIII:CM005099.1; chromosome XIV:CM005100.1; chromosome XV:CM005101.1; chromosome XVI:CM005102.1	MBVB01	177	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190492
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0044	38.3054	GCA_001740905.1	chromosome I:CM006703.1; chromosome II:CM006704.1; chromosome III:CM006705.1; chromosome IV:CM006706.1; chromosome V:CM006707.1; chromosome VI:CM006708.1; chromosome VII:CM006709.1; chromosome VIII:CM006710.1; chromosome IX:CM006711.1; chromosome X:CM006712.1; chromosome XI:CM006713.1; chromosome XII:CM006714.1; chromosome XIII:CM006715.1; chromosome XIV:CM006716.1; chromosome XV:CM006717.1; chromosome XVI:CM006718.1	MBYY01	219	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190391
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.037	51.4	GCA_000734165.1	NA	JMJY01	8275	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739935
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.80601	44.5	GCA_900008235.2	NA	CZRS02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660259
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.8822	47.8	GCA_001702875.1	NA	MALH01	3433	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348786
Fusarium oxysporum f. sp. niveum	120297	PRJNA306247	306247	Fungi	Ascomycetes	54.7991	47.3	GCA_001702865.1	NA	MALG01	3081	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348783
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	947.147	43.5	GCA_003709685.1	NA	QVRD01	18379	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN03838746
Pyricularia oryzae 4091-5-8	1274781	PRJNA184380	184380	Fungi	Ascomycetes	37.5191	50.6	GCA_000376765.1	NA	AOCH01	8886	NA	NA	2013-04-22	2014-08-11	Contig	Seoul National University	SAMN02981493
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8898	38.3148	GCA_001738265.1	chromosome I:CM005311.1; chromosome II:CM005312.1; chromosome III:CM005313.1; chromosome IV:CM005314.1; chromosome V:CM005315.1; chromosome VI:CM005316.1; chromosome VII:CM005317.1; chromosome VIII:CM005318.1; chromosome IX:CM005319.1; chromosome X:CM005320.1; chromosome XI:CM005321.1; chromosome XII:CM005322.1; chromosome XIII:CM005323.1; chromosome XIV:CM005324.1; chromosome XV:CM005325.1; chromosome XVI:CM005326.1	MBVP01	117	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190478
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	11.8712	38.3226	GCA_001737415.2	chromosome I:CM004847.2; chromosome II:CM004848.2; chromosome III:CM004849.2; chromosome IV:CM004850.2; chromosome V:CM004851.2; chromosome VI:CM004852.2; chromosome VII:CM004853.2; chromosome VIII:CM004854.2; chromosome IX:CM004855.2; chromosome X:CM004856.2; chromosome XI:CM004857.2; chromosome XII:CM004858.2; chromosome XIII:CM004859.2; chromosome XIV:CM004860.2; chromosome XV:CM004861.2; chromosome XVI:CM004862.2	MBUM02	57	NA	NA	2016-09-12	2016-11-09	Chromosome	VIB/KULeuven	SAMN05190507
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2635	51.4	GCA_000734325.1	NA	JMJV01	8541	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740626
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	819.663	43.5	GCA_003709675.1	NA	QVRC01	16269	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN04229548
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	51.386	47.9	GCA_009298285.1	NA	WGQF01	3019	NA	NA	2019-10-25	2019-10-25	Scaffold	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869153
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.284	47.8	GCA_001703015.1	NA	MALO01	3188	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348793
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	665.09	43.3	GCA_003864135.1	NA	RRTY01	14865	NA	NA	2018-12-05	2018-12-10	Contig	University of Washington	SAMN04251426
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	35.8714	51.4	GCA_000734265.1	NA	JMJO01	8518	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740634
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0774	38.4302	GCA_001740785.1	chromosome I:CM006639.1; chromosome II:CM006640.1; chromosome III:CM006641.1; chromosome IV:CM006642.1; chromosome V:CM006643.1; chromosome VI:CM006644.1; chromosome VII:CM006645.1; chromosome VIII:CM006646.1; chromosome IX:CM006647.1; chromosome X:CM006648.1; chromosome XI:CM006649.1; chromosome XII:CM006650.1; chromosome XIII:CM006651.1; chromosome XIV:CM006652.1; chromosome XV:CM006653.1; chromosome XVI:CM006654.1	MBYU01	77	NA	NA	2016-09-12	2016-09-21	Chromosome	VIB/KULeuven	SAMN05190395
